Income,Savings,Debt_Status,Investable_Amount,Investment_Term_Months,Risk_Tolerance,Investment_Purpose,Age,Employment_Status,Risk_Capacity_Score,Risk_Tolerance_Score,Final_Risk_Score,Risk_Profile
"25,000 - 49,999",80951,No debt,60235,50,2,Funding education,36,Employed,49.7,26.3,40.4,Balanced
"100,000 or more",156022,No debt,116647,169,4,Wealth accumulation,40,Employed,71.0,75.3,72.7,Growth
"50,000 - 74,999",79155,"Less than 10,000",41524,62,3,Wealth accumulation,48,Employed,43.7,48.9,45.8,Balanced
"25,000 - 49,999",102796,"Less than 10,000",52410,73,2,Funding education,43,Employed,45.3,23.5,36.6,Conservative
"Less than 25,000",37959,"10,000 - 25,000",2521,103,3,Funding education,32,Unemployed,29.0,52.5,38.4,Conservative
"Less than 25,000",23804,"Over 25,000",10464,262,3,Retirement savings,55,Self-employed,30.4,49.9,38.2,Conservative
"Less than 25,000",37833,No debt,11346,120,4,Wealth accumulation,45,Unemployed,43.0,76.6,56.4,Balanced
"75,000 - 99,999",84015,No debt,27040,89,4,Retirement savings,41,Self-employed,53.5,76.1,62.5,Growth
"50,000 - 74,999",90750,"Less than 10,000",6308,158,3,Retirement savings,47,Employed,44.1,55.6,48.7,Balanced
"50,000 - 74,999",105954,No debt,13846,26,2,Buying property,61,Employed,46.4,28.4,39.2,Conservative
0 - No income / rely on investment returns,11200,No debt,3361,225,4,Wealth accumulation,40,Self-employed,34.2,76.0,50.9,Balanced
"100,000 or more",218998,No debt,5250,71,5,Retirement savings,30,Employed,62.3,100.0,77.4,Growth
"75,000 - 99,999",81055,"10,000 - 25,000",50833,150,4,Retirement savings,32,Student,47.9,77.1,59.6,Balanced
"Less than 25,000",40819,"Less than 10,000",1000,89,3,Retirement savings,49,Retired,33.8,56.5,42.9,Balanced
"Less than 25,000",44516,"Less than 10,000",12256,272,3,Retirement savings,42,Employed,45.0,53.0,48.2,Balanced
"Less than 25,000",39292,"Over 25,000",17116,73,2,Funding education,49,Unemployed,26.8,15.8,22.4,Conservative
"25,000 - 49,999",46444,"10,000 - 25,000",21174,108,3,Buying property,36,Retired,33.6,56.5,42.8,Balanced
"25,000 - 49,999",38417,No debt,11356,83,3,Buying property,39,Self-employed,40.9,50.7,44.8,Balanced
